entity_type,entity_id,address_raw,addr_line,locality,region,postal_code,country_iso3,source_accession,address_type,parse_confidence,addr_id
subsidiary,44c8857b-d49d-56a1-a8ed-9524144779fa,,,,,,HKG,0001410578-25-000661,,1.0,56201d5b2dbe457cc34141b4870ba4ee
subsidiary,e01277fb-f222-59f3-abb5-60a5ac51995b,,,,,,HKG,0001410578-25-000661,,1.0,10cc237a48911f48ae9fc00487ebbd6e
subsidiary,ab932366-f55f-56ca-b40f-26af0e8a9dc8,,,,,,,0001410578-25-000661,,1.0,1d4cfd7131ec720eb55e07f1ab7c4d4e
subsidiary,8b9fffd0-f6e4-5dfc-bf03-4325fa19c1ba,,,,,,,0001410578-25-000661,,1.0,18b2f08501a561ef4032f6af4012ae41
subsidiary,ee11d846-f86b-5a02-b211-08b0c079affa,,,,,,,0001410578-25-000661,,1.0,731ecd450981b214018aade4c4e099b7
subsidiary,3aa66bec-b4fd-517a-bdd5-5ee4d737704b,,,,,,,0001410578-25-000661,,1.0,f5d04d5bd080e9a74603b659d6711f30
subsidiary,281b8b2b-8dad-5e9d-90fd-f9984a0f8ff8,,,,,,CYM,0001410578-25-000661,,1.0,72c0b6bd2bf5ac4c33e705e9bef2bc6d
subsidiary,613219b7-1492-55c3-aa28-cc83532cbb20,,,,,,CYM,0001410578-25-000661,,1.0,68aa9ff102edff26c6a192caf93c90e8
subsidiary,6ff85859-ea45-52f8-a466-3ab43129664c,,,,,,,0001410578-25-000661,,1.0,3040772eec1e524528b3c7cd0dfbacc7
subsidiary,1f9759b7-1b4d-5faa-85b9-1524823a6694,,,,,,CHN,0001410578-25-000661,,1.0,3ca1b3a2115e830fa08b63ce806957f9
subsidiary,e009c03b-1ec8-58b9-81be-f87c303e7dfd,,,,,,CHN,0001410578-25-000661,,1.0,6357efdd04abfe5ac31d3e1826ecba9a
subsidiary,9238f9ba-8d18-5e82-acbf-58137a1a26db,,,,,,CHN,0001410578-25-000661,,1.0,2023ff1035027b91810a070d14a76493
subsidiary,d125abfd-c6d6-5dd6-8a27-378c196db44c,,,,,,CHN,0001410578-25-000661,,1.0,2cfa38251ab52297b082108dae79b78d
subsidiary,bca3189b-bd1e-54a5-964f-f1c4a081ce7c,,,,,,CHN,0001410578-25-000661,,1.0,f361c37eb0770c45bc4393b2c1f9314f
subsidiary,753a4372-0624-5831-9644-e9e0d60650f5,,,,,,CHN,0001410578-25-000661,,1.0,289ee170de6849ec6b44397078a991fe
subsidiary,e55bf006-6da5-5af7-9f41-d3bdf4620a3d,,,,,,CHN,0001410578-25-000661,,1.0,49883043b6647a9af79e0a34ce299c4c
subsidiary,8dad508c-67e0-568f-a123-a6e0b1609075,,,,,,CHN,0001410578-25-000661,,1.0,f5f2bef445ecc799b72e6d6eb09f7121
subsidiary,062fc0cf-af69-5e60-9575-4ca8d49303e7,,,,,,CHN,0001410578-25-000661,,1.0,9566abe2d5bbb4d318236a8cbaa1c48e
subsidiary,9e9adb9c-81a7-54af-9c18-b0007cdeea43,,,,,,CHN,0001410578-25-000661,,1.0,c2bbea4fdf3e7ea3ede74d0e5529fd00
subsidiary,d80830b1-adcb-598c-a94b-da7e44f87e46,,,,,,CHN,0001410578-25-000661,,1.0,37565b22c1e25e881060391192979ed3
subsidiary,582919b9-2a63-5b38-b6a5-609ebf11d868,,,,,,CHN,0001410578-25-000661,,1.0,427ecac385b13e4d3c6d8e60f95da6f0
subsidiary,c420e0cc-da11-5fd5-83e5-4865709f226f,,,,,,CHN,0001410578-25-000661,,1.0,de46e0564b869f58f2be0c9790e22d6a
subsidiary,435e8b81-13ae-5d4b-b8d1-5f6ef7db82e6,,,,,,CHN,0001410578-25-000661,,1.0,694f70cfc592bbe726279d59be18da3e
subsidiary,19ab1c63-511f-5471-9a06-bbb5f355183b,,,,,,CHN,0001144204-18-035695,,1.0,ac86f4fef446e0b749460573988792c0
subsidiary,86e11b85-06d6-55d2-ad2f-386a7af12613,,,,,,CHN,0001144204-18-035695,,1.0,ca159e302186cb841b26872e429e3161
subsidiary,9064e4cc-70d7-5932-bdd4-9d2e5a7f2a20,,,,,,CHN,0001144204-18-035695,,1.0,50c73392fe055843de8d547f57505b5e
subsidiary,55c8c994-e2b5-5197-9623-dc11094ef1d6,,,,,,CHN,0001144204-18-035695,,1.0,1e7d15954e73ec19b8b87d02f0f58839
subsidiary,7ccd2f8d-adb7-53fe-b846-01aaa28caeb6,,,,,,CHN,0001144204-18-035695,,1.0,7732d53358571c888ba1442a93cc31d6
subsidiary,842c14df-ed55-5012-b53d-5dcccc699766,,,,,,CHN,0001144204-18-035695,,1.0,4e0ff3eb033522ffd93ccf9011314ede
subsidiary,05a062b6-202f-5c28-82db-579f65688a7b,,,,,,CHN,0001144204-18-035695,,1.0,7cd723dd8b39ca7c29b6111fd1f608a6
subsidiary,b755bcdc-9ca6-5775-be68-f62322e21891,,,,,,CHN,0001144204-18-035695,,1.0,403279f6cbcadcc15e4bdc807dc9be56
subsidiary,5fae7765-941b-5c1b-ad5a-af5f75e8eabf,,,,,,CYM,0001144204-18-035695,,1.0,ad1d415bfaba3cf856662d2d63f3d96a
subsidiary,c12b1e58-b42b-5b2c-bc6e-6f06b734c9d6,,,,,,HKG,0001144204-18-035695,,1.0,6e357d2057e6845d6071cbf652d9f898
subsidiary,a6d4ff08-bd6e-537a-bcfe-b25251391689,,,,,,CHN,0001144204-18-035695,,1.0,08053e80e839f66af1398d354bcf09c4
subsidiary,d583a068-c286-5440-8aef-2995423af084,,,,,,CHN,0001144204-18-035695,,1.0,d5156bf6b56168bf6ecbb983f417e7cc
subsidiary,a26fbe8e-b001-558f-a0b3-9b7ef2d985f8,,,,,,CHN,0001144204-18-035695,,1.0,6ece2832c10cded603bcdb9ded7ebd0b
subsidiary,77ca3881-cecb-5f9f-8823-953b6691f0e1,,,,,,CHN,0001144204-18-035695,,1.0,ff6f1f7d04d7d5b1a1fcf864dab72853
subsidiary,cb38c8b2-c698-591e-a5e8-3ad8582fe862,,,,,,CHN,0001144204-18-035695,,1.0,6323c83fcccfa891ff8c72bd4977b6dd
subsidiary,a6a018a2-ef2f-54f5-9e97-8aa96b0fe607,,,,,,CHN,0001144204-18-035695,,1.0,d583b8c93efa1760a95ccc0928866113
subsidiary,81d79c3f-c3a9-5ea5-b25d-68b73d29194f,,,,,,CHN,0001144204-18-035695,,1.0,c81ae1c3835205b95b714e6c00bb87cf
subsidiary,a86517ae-db85-53dc-9452-101a7b30566d,,,,,,CHN,0001144204-18-035695,,1.0,c077c103e2b462d1cbe438b9d676d689
subsidiary,929ceb5e-9818-54ea-a9bb-0f31f7dd69f0,,,,,,HKG,0001144204-18-035695,,1.0,a418c8bd6c6a9d642b4c96ec70e83c36
subsidiary,f5549793-dbc2-5bef-ac5c-93ca7ecccc1f,,,,,,CHN,0001144204-18-035695,,1.0,9df5d20f0ceb2b30c229fb1750e7b10d
subsidiary,2d33c9c9-07d6-55bb-a1ef-31a672f59986,,,,,,CHN,0001144204-18-035695,,1.0,347e62f3ed025a4f550be69b5493e90f
subsidiary,20e28c1b-7f0f-54a2-81a4-7a422f2ae9d4,,,,,,CHN,0001144204-18-035695,,1.0,98b5295a32a4a01e074939efde6abec6
subsidiary,02531f71-5f11-5b1c-b3d7-a396acc1a2f9,,,,,,CHN,0001144204-18-035695,,1.0,fddc971373c368ff50b9cdf97b42a9e5
subsidiary,adc5e2c3-e128-5198-ac9a-73c2f9eff651,,,,,,CHN,0001144204-18-035695,,1.0,e0fa34245470b2c4751c9f7c272ba14d
subsidiary,967a24c3-a49c-5564-86ad-27221331fb08,,,,,,CHN,0001144204-18-035695,,1.0,32aedb6b2921e501406e821dd76ee0bc
subsidiary,73c5ac36-5bf6-546c-a58e-b70a8f7e94a9,,,,,,CHN,0001144204-18-035695,,1.0,8691b89d4a54b0c8abdab3d932eef53f
subsidiary,1dd8c577-e070-56ee-9872-e1e64eb9080d,,,,,,CHN,0001144204-18-035695,,1.0,cb37b408740f5f1a6857932141df054c
subsidiary,7c719e79-46f9-5544-bc99-1ef627f8323e,,,,,,CHN,0001144204-18-035695,,1.0,c7b4be55f19fc63eee52019346cb865a
