parent_ticker, parent_cik10, accession           , exhibit_label, exhibit_year, subsidiary_name_raw                                                                                      , jurisdiction_raw                               , ownership_raw                                , footnote_marker, source_path                                             , parse_confidence
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, "CLPS Chengdu Co., Ltd."                                                                                 ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, CLPS Investment Management Ltd                                                                           ,                                                , BVI                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Ridik Technology Canada Limited                                                                          ,                                                , Canada                                       ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, JAJI Global Incorporation                                                                                ,                                                , Cayman Islands                               ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, JAJI Singapore Pte. Ltd.                                                                                 ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Qinson Singapore Pte. Ltd                                                                                ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Shanghai Yingjia Technology Limited                                                                      ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, College of Allied Educators Pte. Ltd                                                                     ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Purple Potato Finance Limited                                                                            ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Shell Infotech Pte. Ltd                                                                                  ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Shell Infotech Consulting Sdn. Bhd                                                                       ,                                                , Malaysia                                     ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Ridik Technology Ltd                                                                                     ,                                                , Dubai                                        ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "Qinheng Co., Limited"                                                                                   ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "Qiner Co., Limited"                                                                                     ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "Shanghai Qincheng Information Technology Co., Ltd."                                                     ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "CLPS Shanghai Co., Ltd."                                                                                ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "CLPS Dalian Co., Ltd."                                                                                  ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "CLPS Ruicheng Co., Ltd."                                                                                ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "CLPS Beijing Hengtong Co., Ltd."                                                                        ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "JAJI (Shanghai) Co., Ltd."                                                                              ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "JAJI (Shanghai) Human Resource Co., Ltd."                                                               ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, Ridik Technology (Australia) Pty. Ltd.                                                                   ,                                                , Australia                                    ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, CLPS Technology (Singapore) Pte. Ltd.                                                                    ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "CLPS Technology (HK) Co., Ltd."                                                                         ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "CLPS Shenzhen Co., Ltd."                                                                                ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "CLPS Guangzhou Co., Ltd."                                                                               ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, CLPS Technology (US) Ltd.                                                                                ,                                                , Delware                                      ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, CLPS Technology (California) Inc.                                                                        ,                                                , California                                   ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, CLPS Hangzhou Co. Ltd.                                                                                   ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, Ridik Pte. Ltd.                                                                                          ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, Ridik Consulting Private Limited                                                                         ,                                                , India                                        ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, Ridik Sdn. Bhd.                                                                                          ,                                                , Malaysia                                     ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, Ridik Software Solutions Pte. Ltd.                                                                       ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, CLPS Technology Japan                                                                                    ,                                                , Japan                                        ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, Qinson Credit Card Services Limited                                                                      ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, Hainan Qincheng Software Technology Co.Ltd                                                               ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "CLPS Xian Co., Ltd."                                                                                    ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, "Shanghai Chenqin Information Technology Services Co., Ltd."                                             ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, Growth Ring Ltd.                                                                                         ,                                                , BVI                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
CLPS         ,   0001724542, 0001013762-23-004641, EX-21.1      ,         2023, Arabian Jasmine Ltd.                                                                                     ,                                                , BVI                                          ,                , companies\CLPS\exhibits\0001013762-23-004641\EX-21.1.htm, 
