parent_ticker,parent_cik10,accession,exhibit_label,exhibit_year,subsidiary_name_raw,jurisdiction_raw,ownership_raw,footnote_marker,source_path,parse_confidence
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,Hong Kong NetEase Interactive Entertainment Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,NetEase Media (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"HQG, Limited",Hong Kong,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,Youdao (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,Yanxuan (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,Cloud Village Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"Guangzhou Boguan Telecommunication Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"NetEase Information Technology (Beijing) Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"NetEase Youdao Information Technology (Beijing) Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"Hangzhou Langhe Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"NetEase (Hangzhou) Network Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"NetEase Media Technology (Beijing) Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"Hangzhou Youmai Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"NetEase Kaola (Hangzhou) Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"Hangzhou NetEase Yanxuan Trading Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"Hangzhou NetEase Zaigu Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"Tianjin Wang Zhi Yi Innovation and Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"Hangzhou NetEase Cloud Music Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,NetEase Interactive Entertainment Limited,British Virgin Islands,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"Lede Inc. (previously named Ujia.com, Inc.)",Cayman Islands,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"NetEase Media, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"HQG, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"Youdao, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"NetEase E-commerce, Inc. (previously named Yanxuan, Inc.)",Cayman Islands,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"NetEse Yanxuan, Inc. (previously named Miaode.com, Inc.)",Cayman Islands,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,NetEase (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,Hong Kong NetEase Interactive Entertainment Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,Lede (Hong Kong) Limited (previously named Ujia (Hong Kong) Limited),Hong Kong,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,NetEase Media (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"HQG, Limited",Hong Kong,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,Youdao (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,Yanxuan (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"Guangzhou Boguan Telecommunication Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"NetEase Information Technology (Beijing) Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"NetEase Youdao Information Technology (Beijing) Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"Hangzhou Langhe Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"NetEase (Hangzhou) Network Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"Lede Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"NetEase Media Technology (Beijing) Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"Hangzhou Youmai Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"Hangzhou NetEase Yanxuan Trading Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-18-025392,EX-8.1,2018,"Tianjin Wang Zhi Yi Innovation and Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-18-025392\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,NetEase Interactive Entertainment Limited,British Virgin Islands,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,"Lede Inc. (previously named Ujia.com, Inc.)",Cayman Islands,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,"NetEase Media, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,"HQG, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,"Youdao, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,"Yanxuan, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,"Miaode.com, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,NetEase (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,Hong Kong NetEase Interactive Entertainment Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,Lede (Hong Kong) Limited (previously named Ujia (Hong Kong) Limited),Hong Kong,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,NetEase Media (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,"HQG, Limited",Hong Kong,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,Youdao (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
NTES,0001110646,0001104659-17-025196,EX-8.1,2017,Yanxuan (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-17-025196\EX-8.1.htm,
